бараа_дугаар,ангилал,бүлэг,брэнд,одоогийн_үнэ,суурь_үнэ,өртөг,санал_болгох_үнэ,өөрчлөлтийн_дүн,өөрчлөлтийн_хувь,үйлдэл,яаралтай,ашгийн_хувь,ашгийн_ангилал,эрэлтийн_түвшин,сарын_дундаж_тоо,нийт_тоо,идэвхтэй_сар,шалтгаан
Item_1199,Category_20,Group_9,Brand_91,75634,79990,51596,66560,-9074,-12.0,Үнэ бууруулах,Дунд,31.9,Дунд ашиг,Өндөр,34.9,454,13,139 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_12,Category_5,Group_18,Brand_37,19568,19990,9978,17220,-2347,-12.0,Үнэ бууруулах,Дунд,49.7,Сайн ашиг,Дунд,4.2,55,13,140 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_120,Category_21,Group_9,Brand_103,38093,38990,16779,39770,1677,4.4,Үнэ нэмэх,Дунд,56.1,Сайн ашиг,Өндөр,83.5,1086,13,"Эрэлт маш өндөр (84 ш/сар), ашиг сайн (56.1%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1200,Category_24,Group_9,Brand_94,33740,36990,17192,29690,-4050,-12.0,Үнэ бууруулах,Дунд,48.5,Сайн ашиг,Дунд,2.0,8,4,317 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1201,Category_18,Group_9,Brand_44,28495,59990,23171,28500,0,0.0,Өөрчлөхгүй,Бага зэрэг,18.7,Бага ашиг,Дунд,2.0,2,1,"Одоогийн үнэ тохиромжтой: 18.7% ашиг, дунд эрэлт"
Item_1202,Category_19,Group_9,Brand_44,28995,59990,30355,34910,5914,20.4,Үнэ нэмэх,Яаралтай,-4.7,Алдагдалтай,Бага,1.5,3,2,"Алдагдалтай зарагдаж байна (-4.7%) | Өртөгт суурилсан доод үнэ: 34,908₮"
Item_1203,Category_20,Group_9,Brand_44,51342,64990,23106,46210,-5132,-10.0,Үнэ бууруулах,Дунд,55.0,Сайн ашиг,Бага,1.2,5,4,"Эрэлт бага (1.2 ш/сар), 21.0% хөнгөлөлттэй ч зарагдахгүй | Үнийг бууруулж борлуулалтыг нэмэгдүүлэх"
Item_1204,Category_61,Group_13,Brand_56,8990,8990,4626,7910,-1080,-12.0,Үнэ бууруулах,Дунд,48.5,Сайн ашиг,Дунд,3.0,3,1,276 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1205,Category_22,Group_10,Brand_16,13707,19990,8762,12060,-1647,-12.0,Үнэ бууруулах,Дунд,36.5,Дунд ашиг,Дунд,2.4,22,9,154 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1206,Category_22,Group_10,Brand_16,14776,19990,8620,13000,-1775,-12.0,Үнэ бууруулах,Дунд,41.7,Сайн ашиг,Дунд,2.0,12,6,195 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1207,Category_22,Group_10,Brand_16,13489,19990,8650,11870,-1619,-12.0,Үнэ бууруулах,Дунд,35.9,Дунд ашиг,Дунд,2.8,25,9,199 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1208,Category_22,Group_10,Brand_16,13935,19990,8705,12260,-1675,-12.0,Үнэ бууруулах,Дунд,37.5,Дунд ашиг,Дунд,2.4,26,11,194 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1209,Category_28,Group_5,Brand_85,39990,39990,15996,37190,-2800,-7.0,Үнэ бууруулах,Дунд,90.9,Сайн ашиг,Бага,1.0,1,1,"Эрэлт бага (1.0 ш/сар), ашиг бууруулахыг зөвшөөрнө (90.9%) | Үнийн бага бууралт илүү олон худалдан авагч татна"
Item_121,Category_21,Group_9,Brand_98,20718,32990,13431,18230,-2487,-12.0,Үнэ бууруулах,Дунд,36.6,Дунд ашиг,Дунд,3.6,18,5,261 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1210,Category_28,Group_5,Brand_85,12356,15990,7239,10870,-1486,-12.0,Үнэ бууруулах,Дунд,44.6,Сайн ашиг,Дунд,8.8,115,13,143 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1211,Category_41,Group_20,Brand_24,30486,31124,12194,31750,1264,4.1,Үнэ нэмэх,Дунд,61.0,Сайн ашиг,Өндөр,170.0,2210,13,"Эрэлт маш өндөр (170 ш/сар), ашиг сайн (61.0%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1212,Category_24,Group_9,Brand_30,26991,29990,10796,23750,-3241,-12.0,Үнэ бууруулах,Дунд,90.9,Сайн ашиг,Бага,1.0,1,1,273 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1215,Category_61,Group_13,Brand_36,31153,33171,19020,27420,-3733,-12.0,Үнэ бууруулах,Дунд,39.1,Дунд ашиг,Өндөр,35.8,465,13,141 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1216,Category_61,Group_13,Brand_36,21133,22310,10893,22190,1057,5.0,Үнэ нэмэх,Дунд,48.8,Сайн ашиг,Өндөр,65.6,853,13,"Эрэлт маш өндөр (66 ш/сар), ашиг сайн (48.8%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1217,Category_33,Group_20,Brand_32,31894,54990,30249,31890,0,0.0,Өөрчлөхгүй,Бага зэрэг,5.3,Бага ашиг,Дунд,2.0,6,3,"Одоогийн үнэ тохиромжтой: 5.3% ашиг, дунд эрэлт"
Item_1218,Category_33,Group_20,Brand_32,27299,54990,29164,33540,6241,22.9,Үнэ нэмэх,Яаралтай,-6.8,Алдагдалтай,Дунд,2.3,7,3,"Алдагдалтай зарагдаж байна (-6.8%) | Өртөгт суурилсан доод үнэ: 33,539₮"
Item_1219,Category_33,Group_20,Brand_32,20248,20433,8099,17820,-2427,-12.0,Үнэ бууруулах,Дунд,63.7,Сайн ашиг,Өндөр,37.5,487,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_122,Category_22,Group_10,Brand_3,22895,23761,9394,20150,-2744,-12.0,Үнэ бууруулах,Дунд,59.0,Сайн ашиг,Өндөр,37.4,486,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1220,Category_33,Group_20,Brand_32,20047,20247,8018,20650,603,3.0,Үнэ нэмэх,Дунд,63.4,Сайн ашиг,Өндөр,52.0,676,13,"Эрэлт маш өндөр (52 ш/сар), ашиг сайн (63.4%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1221,Category_33,Group_20,Brand_32,20309,20510,8123,20920,610,3.0,Үнэ нэмэх,Дунд,64.2,Сайн ашиг,Өндөр,51.8,673,13,"Эрэлт маш өндөр (52 ш/сар), ашиг сайн (64.2%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1222,Category_41,Group_20,Brand_62,27284,27602,12111,24010,-3273,-12.0,Үнэ бууруулах,Дунд,55.6,Сайн ашиг,Дунд,11.8,154,13,149 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1223,Category_33,Group_20,Brand_62,27369,27615,11028,24080,-3289,-12.0,Үнэ бууруулах,Дунд,60.3,Сайн ашиг,Дунд,9.5,123,13,138 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1224,Category_18,Group_9,Brand_62,35185,35718,14628,30960,-4224,-12.0,Үнэ бууруулах,Дунд,58.5,Сайн ашиг,Өндөр,32.0,416,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1225,Category_19,Group_9,Brand_62,34937,35528,14361,30740,-4197,-12.0,Үнэ бууруулах,Дунд,58.9,Сайн ашиг,Дунд,14.5,189,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1226,Category_21,Group_9,Brand_62,57322,58443,29044,50440,-6882,-12.0,Үнэ бууруулах,Дунд,49.4,Сайн ашиг,Дунд,11.7,152,13,147 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1227,Category_20,Group_9,Brand_62,40438,41062,16232,35590,-4847,-12.0,Үнэ бууруулах,Дунд,59.9,Сайн ашиг,Өндөр,36.6,476,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1228,Category_11,Group_3,Brand_63,23532,24990,10636,20710,-2822,-12.0,Үнэ бууруулах,Дунд,54.8,Сайн ашиг,Бага,1.7,12,7,139 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1229,Category_11,Group_14,Brand_63,22479,22990,10461,19780,-2699,-12.0,Үнэ бууруулах,Дунд,53.9,Сайн ашиг,Дунд,7.3,95,13,154 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_123,Category_22,Group_10,Brand_3,23990,23990,11676,22310,-1680,-7.0,Үнэ бууруулах,Дунд,51.3,Сайн ашиг,Бага,1.2,6,5,"Эрэлт бага (1.2 ш/сар), ашиг бууруулахыг зөвшөөрнө (51.3%) | Үнийн бага бууралт илүү олон худалдан авагч татна"
Item_1230,Category_11,Group_14,Brand_63,12432,12990,5495,10940,-1491,-12.0,Үнэ бууруулах,Дунд,56.4,Сайн ашиг,Дунд,2.6,29,11,156 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1231,Category_11,Group_3,Brand_63,18714,18990,7485,17400,-1313,-7.0,Үнэ бууруулах,Дунд,60.1,Сайн ашиг,Бага,1.8,14,8,"Эрэлт бага (1.8 ш/сар), ашиг бууруулахыг зөвшөөрнө (60.1%) | Үнийн бага бууралт илүү олон худалдан авагч татна"
Item_1232,Category_114,Group_11,Brand_63,13738,14990,8066,12090,-1648,-12.0,Үнэ бууруулах,Дунд,44.8,Сайн ашиг,Дунд,5.5,71,13,139 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1233,Category_11,Group_3,Brand_63,12616,12990,6309,11100,-1515,-12.0,Үнэ бууруулах,Дунд,50.4,Сайн ашиг,Өндөр,26.6,319,12,140 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1234,Category_11,Group_3,Brand_63,14391,15990,5756,12660,-1731,-12.0,Үнэ бууруулах,Дунд,90.9,Сайн ашиг,Дунд,2.0,2,1,417 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1235,Category_11,Group_3,Brand_63,29093,29990,14568,25600,-3492,-12.0,Үнэ бууруулах,Дунд,50.3,Сайн ашиг,Дунд,6.9,90,13,140 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1236,Category_11,Group_3,Brand_63,22618,22990,9792,19900,-2718,-12.0,Үнэ бууруулах,Дунд,56.6,Сайн ашиг,Дунд,3.4,37,11,199 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1237,Category_11,Group_3,Brand_63,14506,14990,6653,12760,-1745,-12.0,Үнэ бууруулах,Дунд,54.2,Сайн ашиг,Өндөр,26.6,346,13,139 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1238,Category_90,Group_12,Brand_63,8618,8990,3545,7580,-1037,-12.0,Үнэ бууруулах,Дунд,59.4,Сайн ашиг,Дунд,16.5,215,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1239,Category_90,Group_12,Brand_63,12618,16990,7745,11360,-1257,-10.0,Үнэ бууруулах,Дунд,40.2,Сайн ашиг,Бага,1.7,10,6,"Эрэлт бага (1.7 ш/сар), 25.7% хөнгөлөлттэй ч зарагдахгүй | Үнийг бууруулж борлуулалтыг нэмэгдүүлэх"
Item_124,Category_22,Group_10,Brand_3,23990,23990,10585,22310,-1680,-7.0,Үнэ бууруулах,Дунд,55.9,Сайн ашиг,Бага,1.0,4,4,"Эрэлт бага (1.0 ш/сар), ашиг бууруулахыг зөвшөөрнө (55.9%) | Үнийн бага бууралт илүү олон худалдан авагч татна"
Item_1240,Category_90,Group_12,Brand_63,16572,17990,7709,14580,-1991,-12.0,Үнэ бууруулах,Дунд,53.5,Сайн ашиг,Дунд,3.5,45,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1241,Category_5,Group_18,Brand_64,30854,31455,16449,27150,-3704,-12.0,Үнэ бууруулах,Дунд,47.0,Сайн ашиг,Дунд,16.7,217,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1242,Category_5,Group_18,Brand_64,31060,31366,16264,27330,-3729,-12.0,Үнэ бууруулах,Дунд,48.1,Сайн ашиг,Дунд,12.7,165,13,138 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1243,Category_5,Group_18,Brand_64,32702,33421,16948,28780,-3921,-12.0,Үнэ бууруулах,Дунд,48.2,Сайн ашиг,Дунд,5.0,65,13,142 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1244,Category_5,Group_18,Brand_64,31148,31456,16078,27410,-3738,-12.0,Үнэ бууруулах,Дунд,48.4,Сайн ашиг,Дунд,13.1,170,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1245,Category_5,Group_18,Brand_64,30845,31457,15732,27140,-3704,-12.0,Үнэ бууруулах,Дунд,49.2,Сайн ашиг,Дунд,7.8,102,13,140 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1246,Category_5,Group_18,Brand_64,30926,31417,16209,27220,-3706,-12.0,Үнэ бууруулах,Дунд,48.0,Сайн ашиг,Дунд,24.1,313,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1247,Category_5,Group_18,Brand_64,31022,31319,15044,27300,-3721,-12.0,Үнэ бууруулах,Дунд,51.7,Сайн ашиг,Дунд,7.0,91,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1248,Category_5,Group_18,Brand_64,13286,13457,5339,11690,-1596,-12.0,Үнэ бууруулах,Дунд,60.0,Сайн ашиг,Өндөр,29.4,382,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1249,Category_5,Group_18,Brand_64,13226,13459,5367,11640,-1585,-12.0,Үнэ бууруулах,Дунд,59.4,Сайн ашиг,Дунд,21.6,281,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_125,Category_22,Group_10,Brand_3,19872,23990,9815,17880,-1991,-10.0,Үнэ бууруулах,Дунд,50.6,Сайн ашиг,Бага,1.0,6,6,"Эрэлт бага (1.0 ш/сар), 17.2% хөнгөлөлттэй ч зарагдахгүй | Үнийг бууруулж борлуулалтыг нэмэгдүүлэх"
Item_1250,Category_5,Group_18,Brand_64,15280,15499,6620,13450,-1829,-12.0,Үнэ бууруулах,Дунд,57.0,Сайн ашиг,Дунд,8.6,112,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1251,Category_5,Group_18,Brand_64,15251,15392,6442,13420,-1830,-12.0,Үнэ бууруулах,Дунд,57.8,Сайн ашиг,Дунд,8.3,108,13,140 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1252,Category_5,Group_18,Brand_64,13259,13416,5675,11670,-1589,-12.0,Үнэ бууруулах,Дунд,57.2,Сайн ашиг,Дунд,15.2,197,13,139 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1253,Category_5,Group_18,Brand_64,13333,13444,5333,11730,-1603,-12.0,Үнэ бууруулах,Дунд,61.5,Сайн ашиг,Дунд,15.3,199,13,139 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1254,Category_5,Group_18,Brand_64,15201,15546,6409,14140,-1061,-7.0,Үнэ бууруулах,Дунд,57.9,Сайн ашиг,Бага,1.4,10,7,"Эрэлт бага (1.4 ш/сар), ашиг бууруулахыг зөвшөөрнө (57.9%) | Үнийн бага бууралт илүү олон худалдан авагч татна"
Item_1255,Category_5,Group_18,Brand_64,15190,15190,6549,13370,-1820,-12.0,Үнэ бууруулах,Дунд,57.1,Сайн ашиг,Дунд,2.3,7,3,138 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1256,Category_5,Group_18,Brand_64,13244,13412,5297,11650,-1594,-12.0,Үнэ бууруулах,Дунд,62.2,Сайн ашиг,Өндөр,34.5,448,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1257,Category_5,Group_18,Brand_64,13213,13336,5285,11630,-1583,-12.0,Үнэ бууруулах,Дунд,62.9,Сайн ашиг,Дунд,14.5,189,13,140 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1258,Category_93,Group_18,Brand_64,20961,21681,9091,18450,-2510,-12.0,Үнэ бууруулах,Дунд,57.6,Сайн ашиг,Дунд,9.2,119,13,140 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1259,Category_93,Group_18,Brand_64,20436,20990,9073,17980,-2456,-12.0,Үнэ бууруулах,Дунд,56.8,Сайн ашиг,Дунд,5.5,72,13,141 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_126,Category_22,Group_10,Brand_3,21591,23990,11719,19000,-2591,-12.0,Үнэ бууруулах,Дунд,45.7,Сайн ашиг,Бага,1.0,1,1,367 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1260,Category_33,Group_18,Brand_64,18678,18990,7471,19370,691,3.7,Үнэ нэмэх,Дунд,63.3,Сайн ашиг,Өндөр,88.3,1148,13,"Эрэлт маш өндөр (88 ш/сар), ашиг сайн (63.3%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1261,Category_33,Group_18,Brand_64,18703,18987,7481,19370,667,3.6,Үнэ нэмэх,Дунд,61.6,Сайн ашиг,Өндөр,164.5,2139,13,"Эрэлт маш өндөр (164 ш/сар), ашиг сайн (61.6%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1262,Category_33,Group_18,Brand_64,18781,18990,7512,19370,588,3.1,Үнэ нэмэх,Дунд,60.9,Сайн ашиг,Өндөр,106.7,1387,13,"Эрэлт маш өндөр (107 ш/сар), ашиг сайн (60.9%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1263,Category_33,Group_18,Brand_64,18762,18990,7504,19370,608,3.2,Үнэ нэмэх,Дунд,61.5,Сайн ашиг,Өндөр,111.8,1454,13,"Эрэлт маш өндөр (112 ш/сар), ашиг сайн (61.5%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1264,Category_33,Group_18,Brand_64,22487,23294,8994,19790,-2697,-12.0,Үнэ бууруулах,Дунд,61.3,Сайн ашиг,Дунд,2.2,24,11,176 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1265,Category_41,Group_18,Brand_64,15990,15990,6535,14070,-1920,-12.0,Үнэ бууруулах,Дунд,59.7,Сайн ашиг,Дунд,2.7,32,12,155 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1266,Category_18,Group_18,Brand_64,27990,27990,12412,26030,-1960,-7.0,Үнэ бууруулах,Дунд,55.7,Сайн ашиг,Бага,1.0,3,3,"Эрэлт бага (1.0 ш/сар), ашиг бууруулахыг зөвшөөрнө (55.7%) | Үнийн бага бууралт илүү олон худалдан авагч татна"
Item_1267,Category_33,Group_18,Brand_64,18775,18990,7510,16520,-2255,-12.0,Үнэ бууруулах,Дунд,66.1,Сайн ашиг,Дунд,3.8,50,13,143 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1268,Category_103,Group_20,Brand_65,27528,32990,15506,24780,-2748,-10.0,Үнэ бууруулах,Дунд,45.5,Сайн ашиг,Бага,1.5,9,6,"Эрэлт бага (1.5 ш/сар), 16.6% хөнгөлөлттэй ч зарагдахгүй | Үнийг бууруулж борлуулалтыг нэмэгдүүлэх"
Item_1269,Category_123,Group_20,Brand_65,39475,39990,17801,34740,-4735,-12.0,Үнэ бууруулах,Дунд,54.9,Сайн ашиг,Өндөр,37.5,487,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_127,Category_22,Group_10,Brand_3,8546,18990,9014,10370,1824,21.4,Үнэ нэмэх,Яаралтай,-5.5,Алдагдалтай,Бага,1.0,1,1,"Алдагдалтай зарагдаж байна (-5.5%) | Өртөгт суурилсан доод үнэ: 10,366₮"
Item_1270,Category_123,Group_20,Brand_65,34084,36990,20220,29990,-4093,-12.0,Үнэ бууруулах,Дунд,40.8,Сайн ашиг,Бага,1.6,8,5,236 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1271,Category_75,Group_20,Brand_65,25238,25990,10448,22210,-3027,-12.0,Үнэ бууруулах,Дунд,58.8,Сайн ашиг,Дунд,19.9,139,7,346 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1272,Category_75,Group_20,Brand_65,25348,25990,10336,26510,1162,4.6,Үнэ нэмэх,Дунд,59.4,Сайн ашиг,Өндөр,85.8,772,9,"Эрэлт маш өндөр (86 ш/сар), ашиг сайн (59.4%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1273,Category_75,Group_20,Brand_65,22344,22990,10055,19660,-2683,-12.0,Үнэ бууруулах,Дунд,55.2,Сайн ашиг,Өндөр,43.0,430,10,249 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1274,Category_33,Group_20,Brand_65,20357,22990,10091,17910,-2446,-12.0,Үнэ бууруулах,Дунд,50.6,Сайн ашиг,Дунд,5.4,70,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1275,Category_33,Group_20,Brand_65,20012,22990,9989,17610,-2401,-12.0,Үнэ бууруулах,Дунд,50.5,Сайн ашиг,Дунд,5.2,57,11,206 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1276,Category_24,Group_18,Brand_64,29990,29990,13139,27890,-2100,-7.0,Үнэ бууруулах,Дунд,56.2,Сайн ашиг,Бага,1.0,4,4,"Эрэлт бага (1.0 ш/сар), ашиг бууруулахыг зөвшөөрнө (56.2%) | Үнийн бага бууралт илүү олон худалдан авагч татна"
Item_1277,Category_5,Group_18,Brand_64,27990,27990,11273,26030,-1960,-7.0,Үнэ бууруулах,Дунд,59.7,Сайн ашиг,Бага,1.5,6,4,"Эрэлт бага (1.5 ш/сар), ашиг бууруулахыг зөвшөөрнө (59.7%) | Үнийн бага бууралт илүү олон худалдан авагч татна"
Item_1278,Category_5,Group_18,Brand_64,15197,15368,6243,13370,-1827,-12.0,Үнэ бууруулах,Дунд,59.1,Сайн ашиг,Өндөр,24.5,318,13,142 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1279,Category_93,Group_18,Brand_64,12917,13067,5502,11370,-1547,-12.0,Үнэ бууруулах,Дунд,57.4,Сайн ашиг,Дунд,2.6,13,5,186 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_128,Category_22,Group_10,Brand_3,22894,23711,9342,20150,-2743,-12.0,Үнэ бууруулах,Дунд,59.2,Сайн ашиг,Дунд,13.5,175,13,138 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1280,Category_123,Group_20,Brand_65,39165,39990,18995,34470,-4694,-12.0,Үнэ бууруулах,Дунд,51.7,Сайн ашиг,Дунд,23.1,300,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1281,Category_123,Group_20,Brand_65,32322,32990,16620,28440,-3881,-12.0,Үнэ бууруулах,Дунд,48.6,Сайн ашиг,Өндөр,35.4,460,13,138 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1282,Category_123,Group_20,Brand_65,39238,39990,21052,40790,1552,4.0,Үнэ нэмэх,Дунд,46.4,Сайн ашиг,Өндөр,116.0,1508,13,"Эрэлт маш өндөр (116 ш/сар), ашиг сайн (46.4%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1283,Category_123,Group_20,Brand_65,32042,32990,16744,28200,-3842,-12.0,Үнэ бууруулах,Дунд,47.9,Сайн ашиг,Өндөр,31.7,412,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1284,Category_123,Group_20,Brand_65,39410,39990,21271,40790,1379,3.5,Үнэ нэмэх,Дунд,46.0,Сайн ашиг,Өндөр,201.2,2616,13,"Эрэлт маш өндөр (201 ш/сар), ашиг сайн (46.0%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1285,Category_123,Group_20,Brand_65,32403,32990,16706,33650,1247,3.8,Үнэ нэмэх,Дунд,48.5,Сайн ашиг,Өндөр,54.9,714,13,"Эрэлт маш өндөр (55 ш/сар), ашиг сайн (48.5%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
